,Episode,Description,Duration,Year,Series
91,"Ep 301 - Your Perception, Your Reality","A new semester at Stansfield means a fresh start for Tariq. Brayden is learning the ropes at Weston Holdings, under his uncle Lucas. Monet grieves the loss of Zeke, while Cane searches for a...",63 MINS,2023,Power Book II: Ghost
92,Ep 302 - Need vs. Greed,"Tariq, Brayden, Effie, and Cane divvy up Noma's product to push. Lorenzo sets a plan in motion to keep Monet off his trail after she orders him to find Zeke's killer. Cane looks into what ha...",59 MINS,2023,Power Book II: Ghost
93,Ep 303 - Human Capital,Tariq and the rest of the team must find a way to get the product flowing at an even bigger scale. Tensions rise amongst the Tejadas when Lorenzo backs Cane's plan. Saxe digs into the Theo R...,59 MINS,2023,Power Book II: Ghost
94,Ep 304 - The Land of Opportunity,"The Tejadas and Davis discuss how they're going to handle Whitman. Dru sets up a risky deal with the help of a family friend. The R.I.C.O. team gets a lead, Diana is encouraged to break ties...",59 MINS,2023,Power Book II: Ghost
95,Ep 305 - No More Second Chances,"A business deal takes Tariq, Brayden, and Effie to Milan. Monet digs deeper after Davis provides her new information regarding Zeke's murder. Saxe doubles down to find out what Jenny is hiding.",63 MINS,2023,Power Book II: Ghost
96,Ep 306 - Land of Lies,Tariq demands answers after a startling revelation shakes up the relationships in his life — both business and personal. Tragedy brings the Tejadas to the brink of war as they work with the ...,59 MINS,2023,Power Book II: Ghost
97,Ep 307 - Deal or No Deal,Tariq teams up with Tate to plot retaliation after an attack puts the street operation on pause. Monet makes a play to reestablish control over the business. Brayden uncovers a secret that c...,59 MINS,2023,Power Book II: Ghost
98,Ep 308 - Sacrifice,"The feds apply pressure to get their suspect to flip. Dru's erratic behavior leads the Castillos to grow suspicious. As Tate prepares to go up against his political opponent, Harper brings h...",59 MINS,2023,Power Book II: Ghost
99,Ep 309 - A Last Gift,Tariq scrambles to get ahead of information that could incriminate the drug organization and jeopardize his family's safety. The feds double down and set their sights on a new target to aid ...,58 MINS,2023,Power Book II: Ghost
100,Ep 310 - Divided We Stand,"Tariq is forced to join forces with those who betrayed him in order to prevent the worst possible outcome for everyone. Monet elevates her position within the business, reaffirming her power...",61 MINS,2023,Power Book II: Ghost
101,Ep 101 - A Short Fuse and a Long Memory,"On his journey to LA, Tommy stops in Chicago, only to discover shocking news about his family. Tommy must decide whether he is going to force his skeletons back in the closet, or put down ro...",57 MINS,2022,Power Book IV: Force
102,Ep 102 - King of the Goddamn Hill,"When JP receives an unexpected warning, Tommy comes to his aid. Determined to lend a helping hand, Tommy approaches a local dealer proposing a business arrangement, but their introduction ta...",49 MINS,2022,Power Book IV: Force
103,Ep 103 - Fire Starter,Tommy finds himself face-to-face with a ghost from his past. The reunion unearths a discovery when Tommy stumbles across hidden product. Tommy brokers a sit-down between rivals and learns th...,53 MINS,2022,Power Book IV: Force
104,Ep 104 - Storm Clouds,Tommy's former foe turned friend is at the mercy of a notorious criminal organization who resurface to reclaim what's theirs. The group is led by an enemy from Tommy's life back in New York ...,50 MINS,2022,Power Book IV: Force
105,Ep 105 - Take Me Home,"Tommy is offered a profitable solution, from an unlikely source, that may be the answer to his troubles. Intrigued, Tommy is informed he must first address a problem threatening the new vent...",48 MINS,2022,Power Book IV: Force
106,Ep 106 - This is Who We Are,Tommy and his new business partner recruit soldiers to take over the drug game in Chicago. Tommy finds a lucrative location for distribution that doesn't fit with his partner's vision for a ...,54 MINS,2022,Power Book IV: Force
107,Ep 107 - Outrunning a Ghost,"Tommy's new product is spreading like wildfire across Chicago. The current success isn't good enough for Tommy. He wants to own the entire city and is determined to figure out how to do so, ...",52 MINS,2022,Power Book IV: Force
108,Ep 108 - He Ain't Heavy,"Tommy and his crew can barely keep up with the demand and they need more help to increase their supply. More shocking details about Tommy's family surface, and he realizes the news could pot...",54 MINS,2022,Power Book IV: Force
109,Ep 109 - Trust,Vic faces a devastating loss. Walter is ready to go to war and sends for heavy hitters. Tommy soon realizes he needs more power but is turned down by one of his closest allies and is forced ...,57 MINS,2022,Power Book IV: Force
110,Ep 110 - Family Business,"Decisions are made by those closest to Tommy which could leave him powerless. When the gangs face off, truths come to light, shifting the power of the drug game. This battle may be over, but...",64 MINS,2022,Power Book IV: Force
111,Ep 201 - TOMMY'S BACK,"Tommy and Diamond hustle to keep CBI's game ahead of Jenard's new faction in the streets, while Tommy makes solo moves to avenge Liliana's death. All the while, Tommy hasn't forgotten his ul...",59 MINS,2023,Power Book IV: Force
112,Ep 202 - GREAT CONSEQUENCE,"Jenard's crew seeks revenge as Tommy learns of a rivalry between Miguel and the Serbs that he and Diamond leverage to CBI's advantage. Meanwhile, the Feds pursue a task force with Tommy at t...",57 MINS,2023,Power Book IV: Force
113,Ep 203 - WAR & ICE CREAM,"Tommy and Diamond expand their business to prisons, the Feds put together a task force to take down CBI, and Jenard struggles to maintain control. Tommy faces off with Walter and gets closer...",59 MINS,2023,Power Book IV: Force
114,Ep 204 - THE DEVIL'S IN THE DETAILS,"Tommy and Diamond keep dangerous secrets from each other, Jenard clashes with his crew, and Vic teams up with Claudia one last time. D-Mac ends up entangled deeper in the drug game than he e...",58 MINS,2023,Power Book IV: Force
115,Ep 205 - CROWN VIC,"Heightened police presence threatens Tommy and Diamond's bottom line and they form a coalition with a rival gang. Jenard hits rock bottom, and the Flynn family loyalties are tested with deva...",58 MINS,2023,Power Book IV: Force
116,Ep 206 - HERE THERE BE MONSTERS,"Tommy and Diamond expand their coalition by bringing Vic and Jenard into CBI. Mirkovic warns Tommy against encroaching on Serb territory, and makes good on his threat with catastrophic results.",58 MINS,2023,Power Book IV: Force
117,Ep 207 - CHICAGO IS HEATING UP!,"Tommy and Diamond continue gaining territory behind Miguel's back, but Diamond is pulled in other directions. Jenard gets more than he bargained for. Tommy puts Vic's loyalty to the test.",58 MINS,2023,Power Book IV: Force
118,Ep 208 - DEAD RECKONING,Tommy makes bold moves to connect CBI directly with the Cartel as he hustles to stay ahead of the many adversaries out for his blood. Diamond is forced to make a decision that has dire consequences.,58 MINS,2023,Power Book IV: Force
119,Ep 209 - NO LOOSE ENDS,Tommy and Diamond suspect a snitch and put their inner circle to the test. Mireya gives Tommy a key piece of information. The war between Miguel and Mirkovic comes to a head.,58 MINS,2023,Power Book IV: Force
120,Ep 210 - POWER POWDER RESPECT,"Tommy orchestrates the grand finale of his long game to take over Chicago's drug world. When he is faced with devastating personal sacrifices, he finds that he might just lose more than he e...",58 MINS,2023,Power Book IV: Force
121,Ep 101 - Not Exactly How We Planned,"James ""Ghost"" St. Patrick opens Truth nightclub, hoping its success will let him leave his life as a NYC drug kingpin. But a run-in with a past love and a drug-related attack threaten him.",59 MINS,2014,Power
122,Ep 102 - Whoever He Is,"Ghost and Tommy respond to the attacks on the drug business, Ghost's wife Tasha laments his new club career, and Ghost rekindles his relationship with Angela - a US Attorney chasing Ghost's ...",60 MINS,2014,Power
123,Ep 103 - This Is Real,A model's near-death in Truth jeopardizes the club's future. The rift between Ghost and Tasha over the nightclub widens. Ghost is reminded that pursuing Angela - and a legit life - could end...,59 MINS,2014,Power
124,Ep 104 - Who Are You?,Ghost and Tommy plan to gather their network of gang leaders while Angela plans surveillance for the same meeting. The mystery assailant strikes again. Ghost admits to Angela that he's marri...,54 MINS,2014,Power
125,Ep 105 - I Gotta Go,"Concerned over Ghost's attitude, Tasha interferes with club business. Ghost and Angela pursue their affair. Tommy dates a club employee. Ghost and Tommy agree that gang leader Ruiz is behind...",61 MINS,2014,Power
126,Ep 106 - Who You With?,Tommy makes peace with Ruiz while Angela has one of Ruiz's gang wired. Ghost forgets Tasha's birthday. Ghost and Angela confront the reality of their affair. Ghost's driver speaks too candid...,61 MINS,2014,Power
127,Ep 107 - Loyalty,Tasha sees Angela for the first time. Ghost learns a friend may be behind the hits while Angela races to stop the next attack. Ghost makes a commitment to Angela. The mastermind behind the a...,61 MINS,2014,Power
128,Ep 108 - Best Laid Plans,"Ghost plans a huge party at Think, hoping to expand out of NYC and the drug world. Pink Sneakers attempts to murder Ghost. Ghost makes a big decision in an attempt to achieve his dream of going legit.",61 MINS,2014,Power
129,Ep 201 - Consequences,"Ghost picks up the pieces at Truth after the botched murder attempt against him, while recommitting to the drug game. Tommy disappears after learning that Angela's with the feds.",62 MINS,2015,Power
130,Ep 202 - No Friends On The Street,Tommy agrees to help Ghost expand the drug business under one condition - Ghost uses Angela to discover what she knows about them. Kanan's release from jail is a surprise for Ghost.,60 MINS,2015,Power
131,Ep 203 - Like We're Any Other Couple,"Ghost finally takes Angela to Miami. They live the fantasy of being a couple, but the reality of her investigation destroys it. Back in New York, Tommy and Kanan become close.",62 MINS,2015,Power
132,Ep 204 - You're The Only Person I Can Trust,"Ghost fights to retain control over everyone in his life: Tommy, Angela, Tasha and Simon Stern, who is making it impossible for him to win back his club.",61 MINS,2015,Power
133,Ep 205 - Who You Are And Who You Want To Be,"Ghost and Tommy work to sell all of the product in time to pay Lobos, unaware that Holly is being questioned by the FBI. With every passing hour, Angela grows closer to the truth.",61 MINS,2015,Power
134,Ep 206 - Why Her?,"After learning that Ghost and Jamie are the same man, Angela looks for proof. A new member joins the drug syndicate. Tasha makes a wife's ultimate sacrifice to protect her future.",60 MINS,2015,Power
135,Ep 207 - You're Not The Man,Tommy's on edge about Holly's disappearance after talking with the feds. Ghost and Tasha work to rein him in. Angela seems to believe Ghost when he explains his actions...or does she?,59 MINS,2015,Power
136,Ep 208 - Three Moves Ahead,Danger closes in on Ghost and Tommy as Lobos fends off a rival drug cartel and the feds. Ghost scrambles to get from underneath Lobos before Angela gets to him first.,62 MINS,2015,Power
137,Ep 209 - Time's Up,Tommy's locked up as Angela and the feds push him to flip on Lobos or spend his life in jail. Ghost works to do the right thing - but the consequences of his actions are steep.,61 MINS,2015,Power
138,Ep 210 - Ghost Is Dead,"Bodies from Ghost's organization are dropping left and right, each death inching closer to Ghost and Tommy. Both the threat of Kanan and Angela's investigation are just as lethal.",59 MINS,2015,Power
