,Episode,Description,Duration,Year,Series
1034,Ep 718 - The Geneva Balfour Story,"A pregnant women and her husband move west, but along the way she wishes to go back home and makes a rash move to turn the wagon train around.",77 MINS,1964,Wagon Train
1035,Ep 719 - The Kate Crawley Story,"Kate runs a freight line and is on her way to deliver gunpowder when she learns a wagon train led by her old friend, Chris Hale, will be passing by.",76 MINS,1964,Wagon Train
1036,Ep 720 - The Grover Allen Story,"An old clock-maker, Grover is fired by his tyrant boss after 40 years on the job.",77 MINS,1964,Wagon Train
1037,Ep 721 - The Andrew Elliott Story,Duke Shannon had scouted Andrew Elliott's expedition to find a pass on the other side of the badlands in which Duke was the lone survivor.,77 MINS,1964,Wagon Train
1038,Ep 722 - The Melanie Craig Story,"A recent widow, Melanie Craig , is courted by four young men, including Duke Shannon.",77 MINS,1964,Wagon Train
1039,Ep 723 - The Pearlie Garnet Story,"Pearlie Garnet , a young, pretty girl comes west on the wagon train and is caught stealing.",77 MINS,1964,Wagon Train
1040,Ep 724 - The Trace McCloud Story,"The wagon train passes by a town where there have been several murders within the past few weeks, following an influx of new residents.",77 MINS,1964,Wagon Train
1041,Ep 725 - The Duncan McIvor Story,Bill Hawks and Duke Shannon encounter Duncan McIvor when returning to the wagon train from a scouting trip.,76 MINS,1964,Wagon Train
1042,Ep 726 - The Ben Engel Story,"Ben Engel befriends a young thief, Harry Deal, and takes him and his wife, who is pregnant, under his wing. After the war they all head west.",77 MINS,1964,Wagon Train
1043,Ep 727 - The Whipping,Barnaby West and a couple of his friends play several pranks on people while Chris Hale is away from the train.,77 MINS,1964,Wagon Train
1044,Ep 728 - The Santiago Quesada Story,Coop escorts a young lady from the train to San Sabo where her uncle lives. They arrive in town in the midst of a renegade's uprising.,76 MINS,1964,Wagon Train
1045,Ep 730 - The Link Cheney Story,"Link Cheney is a famous riverboat gambler and as he moves west, he gets into a high stakes game.",77 MINS,1964,Wagon Train
1046,Ep 731 - The Zebedee Titus Story,"An aging trailblazer, Zebedee Titus, brings his beaver skins to trading post for his yearly supplies.",77 MINS,1964,Wagon Train
1047,Ep 732 - The Last Circle Up,Riders say goodbye to friends made on the trip on their last night on the trail before reaching their destination.,77 MINS,1964,Wagon Train
1048,Ep 801 - The Bob Stuart Story,"Bob Stuart and his bride join the Chris Hale wagon train. When Coop sees Bob, he recognizes him as a man he has sworn vengeance against.",51 MINS,1964,Wagon Train
1049,Ep 802 - The Hide Hunters,"Coop and Barnaby set out to stalk buffalo with a group of hide hunters, one of whom delights in taunting Barnaby.",51 MINS,1964,Wagon Train
1050,Ep 803 - The John Gillman Story,"John Gillman is found wounded by Abigail, an orphan on the Hale wagon train.",51 MINS,1964,Wagon Train
1051,Ep 804 - The Race Town Story,"Hawks and Barnaby escort a girl to Sam Race's tent city of honky-tonks and con games, but the girl is dismayed when she find that the man has hired her as a saloon girl.",51 MINS,1964,Wagon Train
1052,Ep 805 - The Barbara Lindquist Story,"Going to the aid of a stagecoach under fire, Coop finds a Bostonian lady (Dana Wynter) to be the only surviving passenger.",51 MINS,1964,Wagon Train
1053,Ep 806 - The Brian Conlin Story,A dust-covered delirious Irishmen (Leslie Nieslen) stumbles into camp and falls unconscious; he's the leader of an emigrant band that's been victimized and sees no reason to trust Hale.,51 MINS,1964,Wagon Train
1054,Ep 807 - The Alice Whitetree Story,"Coop finds an Indian girl, Alice Whitetree, who has fallen and hit her head in the woods. Coop brings her to the wagon train.",51 MINS,1964,Wagon Train
1055,Ep 808 - The Those Who Stay Behind,"The train doesn't have enough room for all who want to join, including an ex-convict whose life has been threatened by his former partner.",51 MINS,1964,Wagon Train
1056,Ep 809 - The Nancy Styles Story,"Nancy Styles, a spoiled, headstrong daughter of the wagon train owner for which Chris Hale is wagon master, is determined to get to Denver to marry the man of her choice, against her father's wishes.",51 MINS,1964,Wagon Train
1057,Ep 810 - The Richard Bloodgood Story,"Coop's boyhood blood brother (Guy Stockwell), now blind, joins the wagon train seeking revenge.",51 MINS,1964,Wagon Train
1058,Ep 811 - The Clay Shelby Story,"Trouble strikes the wagon train when Coop is wounded, Hawks falls ill and a band of hostile Indians prepares to attack.",51 MINS,1964,Wagon Train
1059,Ep 812 - Little Girl Lost,"A little girl's cries are heard during the night, but Charlie is the only one to catch a glimpse of her before she vanishes.",51 MINS,1964,Wagon Train
1060,Ep 813 - The Hector Heatherington Story,Hector is an inventor but has no money to finance them.,51 MINS,1964,Wagon Train
1061,Ep 814 - The Echo Pass Story,"After shooting Charlie, an outlaw gang whose members include two women force Coop to lead them to water.",51 MINS,1965,Wagon Train
1062,Ep 815 - The Chottsie Gubenheimer Story,Hale breaks up a scuffle between a gambler and his former sweetheart (Jeanette Nolan).,51 MINS,1965,Wagon Train
1063,Ep 816 - The Wanda Snow Story,A woman traveler in the wagon train (Marta Kristen) has a premonition that Coop's life is in danger.,51 MINS,1965,Wagon Train
1064,Ep 817 - The Isaiah Quickfox Story,Charlie and Coop ride into a deserted town where it appears that everyone left in a big hurry.,51 MINS,1965,Wagon Train
1065,Ep 818 - Herman,"Because the Indians are in awe of an old-timers' giant horse, a Clydesdale who is nineteen hands high and weighs three thousand pounds, the elderly man is able to pass safely through their h...",51 MINS,1965,Wagon Train
1066,Ep 819 - The Bonnie Brooke Story,"An expectant couple, already deep in debt, need cash for the wife's medical care.",51 MINS,1965,Wagon Train
1067,Ep 820 - The Miss Mary Lee Mcintosh Story,"Refusing what she considers to be a ridiculous fee to join the wagon train, a willful spinster plans to follow along in her lone wagon.",51 MINS,1965,Wagon Train
1068,Ep 821 - The Captain Sam Story,"A female ferryboat skipper (Cathy Lewis) gets a pleasant surprise when the train brings her two visitors, her sailor son (Robert Stanton) and his new bride.",51 MINS,1965,Wagon Train
1069,Ep 822 - The Betsy Blee Smith Story,"While visiting an old girlfriend (Jennifer Billingsley), Coop finds he's been recruited to pose as the husband of the woman's twin sister.",51 MINS,1965,Wagon Train
1070,Ep 823 - The Katy Piper Story,Barnaby kills a masked bandit and is then guilt-stricken when he learns that his victim was a boy his own age.,51 MINS,1965,Wagon Train
1071,Ep 824 - The Indian Girl Story,"Hawks refuses to turn an Indian girl over to Chief Crazy Bear, who wants to punish her for killing his son.",50 MINS,1965,Wagon Train
1072,Ep 825 - The Silver Lady,Coop tells Hawks the story about the famed Earp brothers and a lady who perished in the wreck of a stagecoach hauling a cargo of sliver.,44 MINS,1965,Wagon Train
1073,Ep 826 - The Jarbo Pierce Story,"Charlie talks about his younger days in Pierce's Bend, when he worked for a rugged, God-fearing trading post operator (Rory Calhoun).",51 MINS,1965,Wagon Train
1074,Ep 1 - Stage Stop,Jess Harper rides into Laramie looking for a man but when he is met by a hail of bullets he heads for the country.,49 MINS,1959,Laramie
1075,Ep 2 - Glory Road,"When a man who saved Jess's life in the past arrives riding with a female preacher, Jess tries to avoid him but to no avail.",49 MINS,1959,Laramie
1076,Ep 3 - Circle Of Fire,The stage arrives after a female passenger shoots a Pawnee who is the son of Chief Yellow Knife.,49 MINS,1959,Laramie
1077,Ep 4 - Fugitive Road,"Jess's brother-in-law, an Army deserter, shows up looking for help to reach Canada via the Lola Pass.",49 MINS,1959,Laramie
1078,Ep 5 - The Star Trail,A letter takes Jess to a town where he finds his friend has been killed but he develops a new friendship with the sheriff who ultimately hires Jess as a deputy.,49 MINS,1959,Laramie
1079,Ep 6 - The Lawbreakers,Jess volunteers to go undercover for the sheriff and Army to pose as a guide for an outlaw hoping to locate the money from an earlier robbery.,49 MINS,1959,Laramie
1080,Ep 7 - The Iron Captain,Captain Sam Prado is psychopath that finds himself at Sherman Ranch and Relay Station with a saddle bag full of stolen money and the law hot on his trail.,49 MINS,1959,Laramie
1081,Ep 8 - General Delivery,"When Ed Caulder appears, everyone is worried as he is a hired killer who receives his targets via General Delivery at the Post Office.",49 MINS,1959,Laramie
1082,Ep 9 - The Run To Tumavaca,The beautiful Laurel DeWalt looking for a real man leaves her husband. She finds Jess who once had an affair with her.,49 MINS,1959,Laramie
1083,Ep 10 - The General Must Die,"Whit Malone, an old army buddy of Slim Sherman's, shows up unexpectedly at the Sherman Ranch and Relay station supposedly to have a visit with Slim...",49 MINS,1959,Laramie
1084,Ep 11 - Dark Verdict,"It's a case of murder and revenge when a friend of Jess Harper's is unjustly accused, tried, convicted and hung for the murder of Doc Webb and Sheriff Kiley.",49 MINS,1959,Laramie
1085,Ep 12 - Man Of God,"Sioux renegades, armed better than the cavalry by unscrupulous traders, are raiding and killing over a large ares. The stage line is suffering and there seems no end in sight.",49 MINS,1959,Laramie
1086,Ep 13 - Bare Knuckles,"Anxious to help pay the bills at the financially-strapped station, Jonesy becomes the promoter for a traveling prizefighter whose bouts aren't always on the up-and-up.",49 MINS,1959,Laramie
1087,Ep 14 - The Lonesome Gun,Slim Sherman becomes a target of one man's vengeance when Ed Farrell sends a letter to the late Matthew Sherman vowing to kill him for what he did years ago.,49 MINS,1959,Laramie
1088,Ep 15 - Night Of The Quiet Man,The former marshal of Dodge City arrives in Laramie at the same time that Slim is seeing Jess Harper off on a cattle drive with the combined herds of several area ranches.,49 MINS,1959,Laramie
1089,Ep 16 - The Pass,"It's winter, the Sioux are at war, and the Wyoming Territory has become their battleground.",49 MINS,1959,Laramie
1090,Ep 17 - Trail Drive,"In need of some extra money, Slim and Jess take jobs as drovers on a cattle drive, and Jonesy tags along with them.",49 MINS,1960,Laramie
1091,Ep 18 - Day Of Vengeance,"Jess Harper has been appointed deputy marshal to escort accused murderer Gabe Reynolds from Cheyenne to Laramie. The stage is ambushed by Manuel Ortega, brother of the woman that Gabe Reynol...",49 MINS,1960,Laramie
1092,Ep 19 - The Legend Of Lily,"The aging but still beautiful Lily Langford, the toast of three continents, is on a tour of the west and her next stop is Laramie.",49 MINS,1960,Laramie
1093,Ep 20 - Death Wind,"An ill wind blows in the Laramie basin and Sherman Ranch in its path. With an impending tornado, Slim, Jess, Andy and Jonesy are hard pressed to get the ranch ready for the storm.",49 MINS,1960,Laramie
1094,Ep 21 - Company Man,"Jack Slade is the new stage line superintendent and he's a hard, ruthless man. He especially wants Jess Harper fired one way or another which doesn't set well with Jess or Slim Sherman.",49 MINS,1960,Laramie
1095,Ep 22 - Rope Of Steel,Mary and Del Layton are held up and murdered for their strong box of money but the murderer is interrupted by Mace Stringer and runs.,49 MINS,1960,Laramie
1096,Ep 23 - Duel At Alta Mesa,Jess Harper travels to Patterson Ranch for Slim Sherman and finds himself up to his gun belt in trouble.,49 MINS,1960,Laramie
1097,Ep 24 - Street Of Hate,"Five years ago, Frank Buckley went to prison for killing Cameron Gault's son Jay. He's back in Laramie now, and there are those in town who don't want him back.",49 MINS,1960,Laramie
1098,Ep 25 - Ride Or Die,The Laramie bank has been robbed Vernon Kane and a popular deputy killed. Slim Sherman trails the bandit into the desert and catches up with him in the company of Deborah and Jack Farnum.,49 MINS,1960,Laramie
1099,Ep 26 - Hour After Dawn,"Billy Pardee unsuccessfully tries robbing Wells Fargo office killing deputy sheriff in the process. Pardee's partners try to break him out of jail, Sheriff Cory presses Slim into service a...",49 MINS,1960,Laramie
1100,Ep 27 - The Protectors,It's the sod-busters against the ranchers and the homesteaders have hired Gil Martin and his crew to protect them against cattlemen intent on driving them out of Laramie.,49 MINS,1960,Laramie
1101,Ep 28 - Saddle And Spur,The cattle market is depressed which forces Slim Sherman and Jess Harper to hit the trail looking for a better place to sell cattle.,45 MINS,1960,Laramie
1102,Ep 29 - Midnight Rebellion,Jess Harper is on the run from the law after killing a U.S. marshal in Laramie when he meets up with Vern Jamieson on the trail.,49 MINS,1960,Laramie
1103,Ep 30 - Cemetery Road,Slim Sherman gets involved in a fracas with the surly Glen Bentley while rushing Jonesy into Laramie to see the doctor.,49 MINS,1960,Laramie
1104,Ep 31 - Men Of Defiance,Deputy Marshal Jess Harper and the Marshal are on the trail of Frank Bannister and his gang for two weeks when Bannister turns the tables on them along the Santa Fe trail in New Mexico.,47 MINS,1960,Laramie
1105,Ep 32 - Queen Of Diamonds,A beautiful woman tries to avoid her marshal husband for his own protection because a gang of robbers is planning on killing him over a robbery he foiled - thanks to her warning.,49 MINS,1960,Laramie
1106,Ep 33 - The Track Of The Jackal,"Luke Wiley is a notorious, coward, bounty hunter dubbed ""The Jackal"" because he brings in his prisoners dead, and now he wants to take in a friend of Jess who is wanted for murder.",49 MINS,1960,Laramie
1107,Ep 34 - Three Roads West,Slim Sherman is riding shotgun on $10K of stage line money he needs to deliver to Rockland City. One hold up is foiled but a second attempt by the stage driver results in the death of Jack Adams.,49 MINS,1960,Laramie
1108,Ep 35 - Ride The Wild Wind,Outlaws rob the Laramie bank but one of them is shot and killed by the sheriff during the chase.,49 MINS,1960,Laramie
1109,Ep 36 - Ride Into Darkness,Jess Harper comes to Danver's Pass looking for Dan Preston and immediately runs afoul of Matt Jessup and his gang.,49 MINS,1960,Laramie
1110,Ep 37 - The Long Riders,Money is a little tight at Sherman Ranch and Relay Station which forces Slim Sherman and Jess Harper to become mustangers to make ends meet.,48 MINS,1960,Laramie
1111,Ep 38 - The Dark Trail,The stage line is expanding and needs horses but they are competing with the Army for stock. Slim and Jess decide to buy stock from Sam Bronson in Colorado.,46 MINS,1960,Laramie
1112,Ep 39 - .45 Caliber,Vern Clark arrives at Sherman Ranch and Relay station with his new wife finds that he's now the new marshal in Laramie since the Torrey brothers have just killed Marshal Blanton.,49 MINS,1960,Laramie
1113,Ep 40 - LIcense To Kill,"Sam Jarrad is a bounty hunter turned sheriff of Willow, Colorado and Jess Harper has become a man with a price on his head for killing Blake Wilkie.",49 MINS,1960,Laramie
1114,Ep 41 - Drifter's Gold,Slim Sherman arrives in Laramie to buy supplies and finds the town pretty much empty due to rumors of a gold strike in Cherry Creek.,49 MINS,1960,Laramie
1115,Ep 42 - No Second Chance,"Fran Ericson, a woman from Slim Sherman's past, arrives in Laramie with one agenda, to ruin the stage company that ruined her father.",49 MINS,1960,Laramie
1116,Ep 43 - Duel At Parkison Town,When Ben Parkison's youngest son is accidentally shot and killed on Sherman land it revives a years old feud between the Parkisons and the Shermans.,49 MINS,1960,Laramie
1117,Ep 44 - A Sound Of Bells,"It's Christmas at Sherman Ranch and Relay Station, but the Sioux are on the warpath.",49 MINS,1960,Laramie
1118,Ep 45 - The Passing Of Kuba Smith,"Kuba Smith is an old outlaw on the run from a posse and a substantial price on his head. When he kills the sheriff chasing him, he concocts a devious plan to switch identities with the dead man.",49 MINS,1961,Laramie
1119,Ep 46 - Man From Kansas,"Clay Jackson, a charming self-styled Robin Hood, has come to Laramie to ply his trade - robbing from the rich and befriending the poor.",49 MINS,1961,Laramie
1120,Ep 47 - Killer Without Cause,"Joe Cloud, a Native American, is murdered by Carl Vail while working for Slim Sherman. When Slim prefers charges of murder against Carl, it pits the rancher against the town and the Vail family.",49 MINS,1961,Laramie
1121,Ep 48 - Stolen Tribute,Clint Wade comes to Sherman Ranch and Relay station to force Jess Harper to lead him to where Jess caught up to his brother Roy five years previous.,49 MINS,1961,Laramie
1122,Ep 49 - The Lost Dutchman,"Slim Sherman and Jess Harper are in Jackson City to buy cattle from George Lake when he reneges on the deal, leaving Slim steaming mad and ready for a fight.",49 MINS,1961,Laramie
1123,Ep 50 - Cactus Lady,"Troy McCanles has set her cap for Jess Harper and has shown up at the ranch to pickup where they left off in Texas, much to Slim Sherman's amusement.",49 MINS,1961,Laramie
1124,Ep 51 - Riders Of The Night,Ben Yuma is badly wounded in a train robbery and badly needs a doctor. He and his gang have holed up in the caves near Laramie where he sends his brother for the doctor.,49 MINS,1961,Laramie
1125,Ep 52 - Mark Of The Manhunters,"Marshal Jim Craig is escorting Gil Spanner to Cheyenne to testify against Chad Farrell, but Gil is anything but cooperative and Craig is now nursing broken ribs.",49 MINS,1961,Laramie
1126,Ep 53 - Rimrock,Slim Sherman stumbles upon murder victim Hap Matthews and ends up getting shot by the murderer and left to die. Jess Harper saves his partner and ends up trailing the suspect to the town of Rimrock.,49 MINS,1961,Laramie
1127,Ep 54 - Run Of The Hunted,"Cory Lake is the half-heir to a large ranch that he wishes to give to his mother's Cheyenne people, much to the disgust of his uncle and cousins.",49 MINS,1961,Laramie
1128,Ep 55 - Two For The Gallows,"Slim Sherman is hired to take Professor Landfield into the badlands to hunt for gold. Slim doesn't know that the professor is really Morgan Bennett, member of the Plummer gang who's escaped ...",49 MINS,1961,Laramie
1129,Ep 56 - The Debt,Harry Markle is trailed into Laramie by a bounty hunter and turned over to acting deputy sheriff Jess Harper for the night. Jess owes Markle his life when Markle cut him from a hangman's noo...,49 MINS,1961,Laramie
1130,Ep 57 - Killer Odds,Fred Powers is down on his luck and on the run when he meets up with Jess Harper. Jess and Slim help out the stranger even after finding out he has a price on his head.,49 MINS,1961,Laramie
1131,Ep 58 - Bitter Glory,Army paymaster Billy Jacobs and his young wife Ellie steal a $30K army payroll. All the while Ellie conspires with a gambler to betray Billy and escape with the money.,49 MINS,1961,Laramie
1132,Ep 59 - The Tumbleweed Wagon,"Slim Sherman is on his way home when he is shanghaied to become Billy Pore, a convict to be delivered to the Tumbleweed Wagon that takes convicted men to prison.",49 MINS,1961,Laramie
1133,Ep 60 - Trigger Point,Scotty and Jess are driving the stage on an alternative route when the stage is ambushed. Jess and the passengers are forced to walk through the desert without food or water.,49 MINS,1961,Laramie
1134,Ep 61 - Badge Of The Outsider,Doc Longley is an old outlaw looking to live out his last years in peace where he grew up - Laramie. Someone in his gang doesn't want him to and frames him for the murder of the town's deputy sheriff.,49 MINS,1961,Laramie
1135,Ep 62 - Men In The Shadows,"Dixie Howard is on the run when he and his companion, Julie, stop in Laramie to pick up a supply of whiskey. Dixie is forced into a gunfight and he ends up killing one of the stage drivers.",49 MINS,1961,Laramie
1136,Ep 63 - Strange Company,The Sioux are raiding in the Laramie basin and making it dangerous for stage traffic to use the Laramie road. Slim suggests using the Old Laramie road until things settle down but the road n...,49 MINS,1961,Laramie
1137,Ep 64 - Widow In White,"Slim Sherman is in town representing the stage line in a contract with Sheila Dawson, an outlaw's widow - and also a secret investigator for the stage company.",49 MINS,1961,Laramie
1138,Ep 65 - Dragon At The Door,Slim Sherman and Jess Harper rescue a troupe of Japanese entertainers on their way east when their wagon breaks down near the ranch.,49 MINS,1961,Laramie
1139,Ep 66 - Ladies Day,"Slim Sherman and Jess Harper are in a bind. They need a housekeeper, fast, to help corral the energetic Mike Williams so that he can live at the ranch permanently.",49 MINS,1961,Laramie
1140,Ep 67 - Siege At Jubilee,Daisy Cooper and Jess Harper get more that they bargained for when Daisy takes Jess to the dentist in Cheyenne and he ends up deputized to escort prisoner Hobey Devon back to Laramie.,49 MINS,1961,Laramie
1141,Ep 68 - The Mountain Men,"Joe Vance, the man accused of killing Ben Sanford's son is being transported on the stage. Ben and his other two sons are planning on intercepting the stage and taking Vance and give him the...",49 MINS,1961,Laramie
1142,Ep 69 - The Fatal Step,"Jess Harper is riding shotgun on a stage carrying a $20K payroll, but he doesn't know that the coach has been sabotaged so that it will wreck.",49 MINS,1961,Laramie
1143,Ep 70 - The Last Journey,Ex-convict John Cole shows up at Sherman Ranch with the wounded Marshal Briggs and stirs up old memories for Slim Sherman.,49 MINS,1961,Laramie
1144,Ep 71 - Deadly Is The Night,Jess Harper is on his way home to Laramie and gets more than he bargained for when he's forced to stop and rest his lame horse at Ma Tolliver's.,49 MINS,1961,Laramie
1145,Ep 72 - The Accusers,"Slim Sherman and Daisy Cooper are visiting Laramie but soon become entangled in a murder mystery that may involve Slim's boss, Allen Winter.",49 MINS,1961,Laramie
1146,Ep 73 - Wolf Cub,"When Jess Harper saves a young disabled Blackfoot boy from a scalp hunter, he involves himself, Slim Sherman, Daisy Cooper and Mike in a whole mess of trouble.",49 MINS,1961,Laramie
1147,Ep 74 - Handful Of Fire,"Col. John Barrington refuses to accept orders from Slim Sherman, civilian scout, and continues with an attack on an Indian village.",49 MINS,1961,Laramie
1148,Ep 75 - The Killer Legend,"Jess Harper is acting deputy in Laramie while Mort Cory is in Denver when he catches Tom Wade, an ex-con claiming innocence, searching files in the sheriff's office.",49 MINS,1961,Laramie
1149,Ep 76 - The Jailbreakers,"Gil Martin has returned to Cheyenne after getting out of prison to see his girlfriend. Marshal Al Dawson, who doesn't like Martin and had warned him to stay away, shows up - and a violent st...",49 MINS,1961,Laramie
1150,Ep 77 - The Lawless Seven,Jess Harper's temper gets him in trouble again when he's framed for the murder of a rancher who broke a contract to sell horses to Sherman Ranch.,49 MINS,1961,Laramie
1151,Ep 78 - The Perfect Gift,"The Cady brothers have vowed revenge against an Arapaho woman, Winona, who was acquitted of murdering their brother. Slim Sherman gets involved when he rescues Winona from certain death at t...",49 MINS,1962,Laramie
1152,Ep 79 - The Barefoot Kid,"Jess Harper is on his way back to Laramie after negotiating a large sale of cattle when his horse is stolen. Left afoot, the angry cowboy trails both horse and thief to Dry Springs.",49 MINS,1962,Laramie
1153,Ep 80 - Shadows In The Dust,Slim has been chasing down and finally corners a cattle rustler. Slim is wounded during the shootout but still manages to capture the rustler - a beautiful girl named Jean Lavelle.,49 MINS,1962,Laramie
1154,Ep 81 - The Runaway,Billy Watkins is a troublemaking teenager who has arrived in Laramie to live with his uncle. He's fallen in with a couple of drifters and is now under their thumb.,49 MINS,1962,Laramie
1155,Ep 82 - The Confederate Express,"On the run from a posse, Matt Grundy comes to Laramie with a silver tongue and bag full of explosives to win back his wife and daughter.",49 MINS,1962,Laramie
1156,Ep 83 - The High Country,Slim is trailing a horse thief when he meets up with cattleman Mel Bishop and his men in full-blown range war with Jason Duncan and his gang.,49 MINS,1962,Laramie
1157,Ep 84 - A Grave For Cully Brown,"Jess Harper is on his way back to Laramie after a cattle sale when he stops to help Cully Brown, who is caught up in a gun battle with bounty hunters.",49 MINS,1962,Laramie
1158,Ep 85 - The Runt,"The Catlin brothers are a trio of murderous outlaws on the run and headed to Laramie, which spells trouble for their step-brother Sandy, his wife Marcie, and acting sheriff Slim Sherman.",49 MINS,1962,Laramie
1159,Ep 86 - The Dynamiters,"The Bank of Laramie is shipping $50K to Denver for redeposit and Jess Harper is riding shotgun on the stage. When the money is stolen, Jess ends up chasing the wounded thief into the hills.",49 MINS,1962,Laramie
1160,Ep 87 - The Day Of The Savage,"Glen Colton arrives at the Sherman Ranch and Relay Station to wait for the arrival of fiancee on the stage, but he's got trouble on his heels in the form of a Sioux war party intent kidnapping him.",49 MINS,1962,Laramie
1161,Ep 88 - Justice In A Hurry,"Ev Keleher is looking for Arney Jackson who he thinks poisoned his water hole and killed his cattle. When Jackson is found murdered, the sheriff arrests Keleher.",49 MINS,1962,Laramie
1162,Ep 89 - The Replacement,"Slim, Jess and Sheriff Corey shoot down an outlaw, who turns out to be a teenager. When the townspeople learn that their sheriff has been shooting children, they think it's time to replace him.",49 MINS,1962,Laramie
1163,Ep 90 - The Turn Of The Wheel,Frank Mannus arrives in Laramie but his reputation got there first. Billy O'Neil remembers how Mannus treated his sister Abbey and intends to kill Mannus for it.,49 MINS,1962,Laramie
1164,Ep 91 - Trial By Fire,"Lars Carlson has sent for a mail-order bride, but she doesn't show up. Dancehall girl Zoie Carter thinks marriage will make her respectable so she decides to take her place.",49 MINS,1962,Laramie
1165,Ep 92 - Fall Into Darkness,"Slim, Daisy and Mike are on their way home when the encounter Kathy Frances, a little girl whose mother has fallen into a well. Slim is about to send Daisy for help when three robbers show up.",49 MINS,1962,Laramie
1166,Ep 93 - Among The Missing,Mike is wounded when three outlaws rob the Laramie bank. The outlaws get away and Jess joins the posse to get a chance at revenge.,49 MINS,1962,Laramie
1167,Ep 94 - War Hero,"Jess is the bodyguard a Union Army hero, General George Barton, who is running for President.",49 MINS,1962,Laramie
1168,Ep 95 - The Fortune Hunter,"Kitty McAllen is being courted by newcomer Vince Jackson, which angers Slim. Slim and Kitty had planned to be married.",49 MINS,1962,Laramie
1169,Ep 96 - Shadow Of The Past,Jess thought his sister had died four years ago until she shows up in Laramie to bury her outlaw husband.,49 MINS,1962,Laramie
1170,Ep 97 - The Long Road Back,"Slim arrests Virg Walker but returning him to Laramie proves difficult. Along the way Slim encounters difficulties with his prisoner, a friendly prospector, and a girl in distress.",49 MINS,1962,Laramie
1171,Ep 98 - Lost Allegiance,Jess gets injured while tracking rustlers and ends up face to face with one of the outlaws. Turns out the face is very familar.,49 MINS,1962,Laramie
1172,Ep 99 - The Sunday Shoot,A mountain boy and his girl come to the big city of Laramie to compete in a shooting contest. After the boy wins it is up to Slim to see if he can help the pair return home safely.,49 MINS,1962,Laramie
1173,Ep 100 - Double Eagles,"Outlaw Al Denning and his gang are being chased by a posse, so he starts leaving behind some gold eagle coins to tempt the pursuing lawmen into a payoff.",49 MINS,1962,Laramie
1174,Ep 101 - Beyond Justice,"Slim is deputized to protect Stephen Collier, a murder suspect with a killer on his trail - and his lawyer, who's behaving very strangely.",49 MINS,1962,Laramie
1175,Ep 102 - Bad Blood,"Jess is escorting a young boy to his aunt in Colorado, but the boy is determined to break away and go see his father, a cold blooded, murderous outlaw leader.",49 MINS,1962,Laramie
1176,Ep 103 - Time Of THe Traitor,"When Dr. Samuel Mudd saves young Steve Prescott's life after a wagon accident, it sets off chain of events that pits Slim Sherman against an angry father who believes that Dr. Mudd maimed his son.",49 MINS,1962,Laramie
1177,Ep 104 - Gun Duel,"Jess Harper is spending the weekend in Laramie as deputy sheriff, but his quiet weekend is about to heat up and the results could get him and Johnny Hartley killed.",49 MINS,1962,Laramie
1178,Ep 105 - Naked Steel,Slim heads to Riverton to discover who killed Marty Patterson and took the 3000 dollars he was carrying. Lee Christy was responsible for Patterson's death but a mysterious gambler took Patte...,49 MINS,1963,Laramie
1179,Ep 106 - Vengeance,"Joe Morgan is suspected of robbery and murder, and when a posse tracks him into some rocks Slim breaks his collar bone. The following day, Jess encounters Joe and the two shoot it out.",49 MINS,1963,Laramie
1180,Ep 107 - Protective Custody,"Slim's friend Mike Douglas is searching for his daughter, Alicia. Jess knows her as a saloon girl with a bad reputation. When Douglas finds Alicia, she shoots him.",49 MINS,1963,Laramie
1181,Ep 108 - The Betrayers,"Jess is in Ironwood when he runs into an old friend, Chet Darby. Chet sets Jess up as a fall guy during a bank robbery and Jess gets sentenced to hang.",49 MINS,1963,Laramie
1182,Ep 109 - The Wedding Party,Stacy Bishop divorced Gil three years ago and is planning on re-marrying. Slim and Daisy go to the wedding and attempt to prevent Gil from interrupting the ceremony.,49 MINS,1963,Laramie
1183,Ep 110 - No Place To Run,"A former safecracker, Gandy Ross, is dealing with an outlaw who's trying to get him to return to his illegal profession.",49 MINS,1963,Laramie
1184,Ep 111 - The Fugitives,"While searching for robbers Slim is shot and left for dead. With snow coming in, it becomes a race against time for Jess to find Slim.",49 MINS,1963,Laramie
1185,Ep 112 - The Disposessed,En route to a neighboring ranch Slim and Jess run into a family of anti-social Mustangers. Once they get to the ranch they discover that the ranchers have been hit by Comancheros.,49 MINS,1963,Laramie
1186,Ep 113 - The Renegade Brand,Jess and the Stage Agent are robbed at the ranch and Slim sets off in pursuit. The only information Slim has about the thieves is that one was riding a big grey horse.,49 MINS,1963,Laramie
1187,Ep 114 - The Violent Ones,"Five years ago Jess crippled Bob Blayne's gun hand when arresting him for robbery. Now Blayne's sons are out for revenge, and when Slim is beaten half to death all bets are off.",49 MINS,1963,Laramie
1188,Ep 115 - The Unvanquished,"Slim's newest hand, Ben, finds a pair of Arapaho camped on Sherman land. Ben threatens the Diamo's pregnant wife and is killed when Diamo tries to defend her.",49 MINS,1963,Laramie
1189,Ep 116 - The Sometimes Gambler,Herb Richards is an ex-gambler and occasional thief trying to go straight and locate his daughter. Richards' former partners show up and strong arm him into robbing the town bank.,49 MINS,1963,Laramie
1190,Ep 117 - Edge Of Evil,Jess finds himself in trouble with an unattended mule packing gold. Involved with Jess are prospector Canby and his partners - from whom Canby stole the gold.,49 MINS,1963,Laramie
