,Name,Rating,Duration,Category,Year,Cast,Synopsis,Link
58,The Black Phone,R,103 MINS,"HORROR, SUSPENSE",2022,"Ethan Hawke, Jeremy Davies, James Ransone","Finney is a 13-year-old boy who's being held captive by a sadistic, masked killer. When a disconnected phone on the wall starts to ring, he soon discovers that he can hear the voices of the murderer's previous victims.",https://www.starz.com/us/en/movies/the-black-phone-64745
59,SuperFly,R,116 MINS,"ACTION, CRIME",2018,"Trevor Jackson, Jason Mitchell, Michael Kenneth Williams",Cocaine kingpin Youngblood Priest hatches a plan for one last score to get out of the game for good.,https://www.starz.com/us/en/movies/superfly-42970
60,Bad Boys For Life,R,124 MINS,"ACTION, COMEDY",2020,"Will Smith, Martin Lawrence, Vanessa Hudgens",Detectives Mike Lowrey and Marcus Burnett team up again for another adventure.,https://www.starz.com/us/en/movies/bad-boys-for-life-50297
61,John Wick: Chapter 4,R,169 MINS,"ACTION, SUSPENSE",2023,"Keanu Reeves, Bill Skarsgård, Donnie Yen","With the price on his head ever increasing, legendary hit man John Wick takes his fight against the High Table global as he seeks out the most powerful players in the underworld, from New York to Paris to Japan to Berlin.",https://www.starz.com/us/en/movies/john-wick-chapter-4-66012
62,7 Seconds,R,96 MINS,"ACTION, SUSPENSE",2005,"Wesley Snipes, Tamzin Outhwaite, Pete Lee-Wilson","When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting - now the thief must hatch a rescue plan!",https://www.starz.com/us/en/movies/7-seconds-49723
63,Amityville Uprising,R,85 MINS,"HORROR, ACTION",2022,"Mike Ferguson, Micah Fitzgerald, Troy Fromin",A sergeant from the Amityville police department must protect his son from zombies after a chemical explosion at a nearby army base releases toxic gas into the air causing acid rain that reanimates dead bodies.,https://www.starz.com/us/en/movies/amityville-uprising-68737
64,The Island,TV-MA,93 MINS,"DRAMA, ACTION",2023,"Michael Jai White, Jackson Rathbone, Gillian White","When his brother is brutally murdered by a ruthless crime boss, an LAPD officer returns home to his native island to solve the murder and seek revenge.",https://www.starz.com/us/en/movies/the-island-71164
65,Iron Man 3,PG-13,130 MINS,"ACTION, COMIC BOOK BASED",2013,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow","Marvel superhero Tony Stark uses his ingenuity to fight those who destroyed his private world, and soon goes up against his most powerful enemy yet: the Mandarin.",https://www.starz.com/us/en/movies/iron-man-3-50495
66,Pixels,PG-13,105 MINS,"COMEDY, ACTION",2015,"Adam Sandler, Peter Dinklage, Kevin James",A home-theater installer leads a team of old-school arcade champs and a military specialist in a battle against aliens who base their attacks on 1980s-era video games.,https://www.starz.com/us/en/movies/pixels-23908
67,Smokin' Aces 2: Assassins' Ball,R,86 MINS,"ACTION, COMEDY",2009,"Tom Berenger, Ernie Hudson, Michael Parks",Bloody chaos ensues when a diverse group of killers targets a federal agent.,https://www.starz.com/us/en/movies/smokin-aces-2-assassins-ball-41062
